,id,name,type,required,formula,is_hidden,visibility_rules,referred_list,lookup_type,lookup_source,lookup_fields,lookup_hidden_fields,lookup_filter,under,Start,Initiate,Goto-Active,Draft,Submit For Review,Approved,Test,Rejected,Goto-Submit For Review,Submit Without Review,Update,Goto-Draft,Draft Approved,Active,Active Step,Submit for review,Reject,Goto-Submit for review,Temp,Adjust,Contract Cancel,Extend,Goto-Extend,Goto-Active Step,Approve,Extend Reject,Renew,Goto-Renew,Renew Approve,Renew Reject,Cancelled Contract,Done,Completed
Short_Description,Short_Description,Short Description,Textarea,True,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Description,Description,Description,Textarea,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Singing_Date,Singing_Date,Singing Date,Date,True,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Starts_Effective_Date,Starts_Effective_Date,Starts (Effective Date) ,Date,True,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Ends_Expiration_Date,Ends_Expiration_Date,Ends (Expiration Date),Date,True,-,False,"Field visibility rules - Match All: 
- Calculated_Extend_End_Date NOT_EMPTY -Value
- Calculated_Renew_End_Date_General NOT_EMPTY -Value
- Current_Step EQUAL_TO Rejected-Value
Match All: 
- Current_Step EQUAL_TO Active-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Number_of_pages_In_contract,Number_of_pages_In_contract,Number of pages (In contract),Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Nature_of_Contract,Nature_of_Contract,Nature of Contract,Select,False,-,False,-,Nature_Of_Contract,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Application_Model,Application_Model,Application Model,Select,False,-,False,-,Contract_Application_Model,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Approver,Approver,Approver,Reference,True,-,False,"Field visibility rules - Match All: 
- Select_Option_Draft EQUAL_TO Submit Without Review-Value
- Cancel_Contract_btn EQUAL_TO true-Value
",-,Dataset,CMS_Approver_Group,"Name, Contract_Approver_Name, Team_Name","Name, Team_Name","Filter 1 - (Match All) :
- Team_Name CONTAINS Login_User_Team-Field
- Active EQUAL_TO Active-Value
",Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Administrator,Contract_Administrator,Contract Administrator,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
RenewalExtension_Contract,RenewalExtension_Contract,Renewal/Extension Contract,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Options,Options,Options,Text,False,"if(Extend_btn=true(),Extension_Option,if(Renew_btn=true(),Renew_Options,""None""))",False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
RenewalExtension_date,RenewalExtension_date,Renewal/Extension date (not use),Date,False,-,True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
RenewalExtension_end_date,RenewalExtension_end_date,Renewal/Extension end date,Date,False,"if(Extend_btn=true(),if(Do_you_want_to_choose_extension_end_date=""Extension Option"",Extension_End_Date,Choose_Extension_End_Date),Calculated_Renew_End_Date_General)",True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Cost_adjustment_type,Cost_adjustment_type,Cost adjustment type,Select,False,-,False,-,Cost_adjustment_type,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Cost_adjustment_amount,Cost_adjustment_amount,Cost adjustment amount,Number,False,"if(Could_you_please_select_cost_adjustment_amount_or_percentage=""Amount"",Extend_Cost_Adjustment,if(Could_you_please_select_cost_adjustment_amount_or_percentage_ren=""Amount"",Renew_Cost_adjustment_amount,0))",False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Cost_adjustment_percentage,Cost_adjustment_percentage,Cost adjustment percentage,Number,False,"if( Could_you_please_select_cost_adjustment_amount_or_percentage=""Percentage"",Extend_Cost_Adjustment_percent,if(Could_you_please_select_cost_adjustment_amount_or_percentage_ren=""Percentage"",Renew_Cost_adjustment_percentage,0))",False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Tax_exempt,Tax_exempt,Tax exempt,Boolean,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Commercial_Tax,Commercial_Tax,Commercial Tax,Number,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Withholding_Tax,Withholding_Tax,Withholding Tax,Number,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Payment_Terms,Payment_Terms,Payment Terms,Textarea,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Payment_schedule,Payment_schedule,Payment schedule,Select,False,-,False,-,Payment_Schedule,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Payment_amount,Payment_amount,Payment amount,Currency,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Commercial_Tax_amount,Commercial_Tax_amount,Commercial Tax amount,Number,False,(Commercial_Tax/100)*Payment_amount.value(),False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Withholding_Tax_amount,Withholding_Tax_amount,Withholding Tax amount,Number,False,(Withholding_Tax/100)*Payment_amount.value(),False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Total_Cost,Total_Cost,Total Cost,Number,False,"(Commercial_Tax_amount+Payment_amount.value())-Withholding_Tax_amount,"" "",Total_Cost_Unit",True,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Select_Option_Draft,Select_Option_Draft,Select Option,Select,True,-,False,"Field visibility rules - Match All: 
- Cancel_Contract_btn EQUAL_TO true-Value
",CMS_Draft_Option,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Approver_1,Approver_1,Approver,Text,False,Approver.Contract_Approver_Name,False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly
Approving,Approving,Approval State,Select,True,-,False,-,Contract_Approval_State,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly
Approver_State,Approver_State,Approval State,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly
Comments,Comments,Reason,Textarea,True,-,True,"Field visibility rules - Match All: 
- Approving EQUAL_TO Reject-Value
- Current_Step EQUAL_TO Rejected-Value
- Current_Step EQUAL_TO Reject-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Select_Option_Approved,Select_Option_Approved,Select Option Test,Select,False,-,True,-,CMS_Approved_Option,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Today_Date,Today_Date,Today Date,Date,False,Today(),False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Date_Diff,Date_Diff,Date Diff,Number,False,"if(Starts_Effective_Date<=Today_Date,0,1)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
State_Change_Date,State_Change_Date,State Change Date,Number,False,"Datediff(Starts_Effective_Date,Today_Date,""Day"")",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
